date,NAO
2000-01-01,0.6
2000-02-01,1.7
2000-03-01,0.77
2000-04-01,-0.03
2000-05-01,1.58
2000-06-01,-0.03
2000-07-01,-1.03
2000-08-01,-0.29
2000-09-01,-0.21
2000-10-01,0.92
2000-11-01,-0.92
2000-12-01,-0.58
2001-01-01,0.25
2001-02-01,0.45
2001-03-01,-1.26
2001-04-01,0.0
2001-05-01,-0.02
2001-06-01,-0.2
2001-07-01,-0.25
2001-08-01,-0.07
2001-09-01,-0.65
2001-10-01,-0.24
2001-11-01,0.63
2001-12-01,-0.83
2002-01-01,0.44
2002-02-01,1.1
2002-03-01,0.69
2002-04-01,1.18
2002-05-01,-0.22
2002-06-01,0.38
2002-07-01,0.62
2002-08-01,0.38
2002-09-01,-0.7
2002-10-01,-2.28
2002-11-01,-0.18
2002-12-01,-0.94
2003-01-01,0.16
2003-02-01,0.62
2003-03-01,0.32
2003-04-01,-0.18
2003-05-01,0.01
2003-06-01,-0.07
2003-07-01,0.13
2003-08-01,-0.07
2003-09-01,0.01
2003-10-01,-1.26
2003-11-01,0.86
2003-12-01,0.64
2004-01-01,-0.29
2004-02-01,-0.14
2004-03-01,1.02
2004-04-01,1.15
2004-05-01,0.19
2004-06-01,-0.89
2004-07-01,1.13
2004-08-01,-0.48
2004-09-01,0.38
2004-10-01,-1.1
2004-11-01,0.73
2004-12-01,1.21
2005-01-01,1.52
2005-02-01,-0.06
2005-03-01,-1.83
2005-04-01,-0.3
2005-05-01,-1.25
2005-06-01,-0.05
2005-07-01,-0.51
2005-08-01,0.37
2005-09-01,0.63
2005-10-01,-0.98
2005-11-01,-0.31
2005-12-01,-0.44
2006-01-01,1.2651
2006-02-01,-0.5106
2006-03-01,-1.2779
2006-04-01,1.2353
2006-05-01,-1.1444
2006-06-01,0.8412
2006-07-01,0.9024
2006-08-01,-1.7264
2006-09-01,-1.6219
2006-10-01,-2.2439
2006-11-01,0.4368
2006-12-01,1.3366
2007-01-01,0.2227
2007-02-01,-0.47
2007-03-01,1.4425
2007-04-01,0.1694
2007-05-01,0.6638
2007-06-01,-1.3064
2007-07-01,-0.5794
2007-08-01,-0.139
2007-09-01,0.7213
2007-10-01,0.4465
2007-11-01,0.5756
2007-12-01,0.3436
2008-01-01,0.8901
2008-02-01,0.7346
2008-03-01,0.0761
2008-04-01,-1.0655
2008-05-01,-1.728
2008-06-01,-1.3895
2008-07-01,-1.2741
2008-08-01,-1.1602
2008-09-01,1.0169
2008-10-01,-0.0434
2008-11-01,-0.3199
2008-12-01,-0.2765
2009-01-01,-0.0075
2009-02-01,0.0565
2009-03-01,0.5723
2009-04-01,-0.2044
2009-05-01,1.6827
2009-06-01,-1.2074
2009-07-01,-2.1529
2009-08-01,-0.1938
2009-09-01,1.5089
2009-10-01,-1.0322
2009-11-01,-0.0248
2009-12-01,-1.9257
2010-01-01,-1.1086
2010-02-01,-1.9845
2010-03-01,-0.8831
2010-04-01,-0.7199
2010-05-01,-1.487
2010-06-01,-0.816
2010-07-01,-0.425
2010-08-01,-1.2227
2010-09-01,-0.7948
2010-10-01,-0.9283
2010-11-01,-1.6158
2010-12-01,-1.8472
2011-01-01,-0.8768
2011-02-01,0.7012
2011-03-01,0.6129
2011-04-01,2.4775
2011-05-01,-0.0623
2011-06-01,-1.2795
2011-07-01,-1.5122
2011-08-01,-1.3475
2011-09-01,0.536
2011-10-01,0.3935
2011-11-01,1.3602
2011-12-01,2.5213
2012-01-01,1.1739
2012-02-01,0.4201
2012-03-01,1.2655
2012-04-01,0.471
2012-05-01,-0.9068
2012-06-01,-2.5309
2012-07-01,-1.3215
2012-08-01,-0.9832
2012-09-01,-0.5861
2012-10-01,-2.062
2012-11-01,-0.5782
2012-12-01,0.1706
2013-01-01,0.3453
2013-02-01,-0.4531
2013-03-01,-1.6119
2013-04-01,0.687
2013-05-01,0.5691
2013-06-01,0.5208
2013-07-01,0.6722
2013-08-01,0.9702
2013-09-01,0.2406
2013-10-01,-1.2801
2013-11-01,0.9008
2013-12-01,0.9457
2014-01-01,0.2903
2014-02-01,1.3352
2014-03-01,0.7983
2014-04-01,0.3052
2014-05-01,-0.9225
2014-06-01,-0.9701
2014-07-01,0.1754
2014-08-01,-1.6815
2014-09-01,1.6163
2014-10-01,-1.2706
2014-11-01,0.678
2014-12-01,1.8575
2015-01-01,1.7887
2015-02-01,1.3228
2015-03-01,1.4497
2015-04-01,0.7253
2015-05-01,0.1455
2015-06-01,-0.0668
2015-07-01,-3.179
2015-08-01,-0.7604
2015-09-01,-0.6485
2015-10-01,0.4372
2015-11-01,1.7438
2015-12-01,2.2436
2016-01-01,0.1165
2016-02-01,1.5803
2016-03-01,0.7344
2016-04-01,0.3751
2016-05-01,-0.7736
2016-06-01,-0.4325
2016-07-01,-1.7603
2016-08-01,-1.6453
2016-09-01,0.611
2016-10-01,0.4113
2016-11-01,-0.1637
2016-12-01,0.4783
2017-01-01,0.4782
2017-02-01,1.0048
2017-03-01,0.737
2017-04-01,1.7325
2017-05-01,-1.911
2017-06-01,0.045
2017-07-01,1.2556
2017-08-01,-1.0977
2017-09-01,-0.6127
2017-10-01,0.1859
2017-11-01,-0.0049
2017-12-01,0.8816
2018-01-01,1.4423
2018-02-01,1.5778
2018-03-01,-0.9269
2018-04-01,1.2411
2018-05-01,2.1208
2018-06-01,1.088
2018-07-01,1.3893
2018-08-01,1.967
2018-09-01,1.6736
2018-10-01,0.9345
2018-11-01,-0.1113
2018-12-01,0.6116
2019-01-01,0.592
2019-02-01,0.2914
2019-03-01,1.2321
2019-04-01,0.466
2019-05-01,-2.623
2019-06-01,-1.0886
2019-07-01,-1.4255
2019-08-01,-1.1684
2019-09-01,-0.1641
2019-10-01,-1.4134
2019-11-01,0.2785
2019-12-01,1.2016
2020-01-01,1.3432
2020-02-01,1.257
2020-03-01,1.0126
2020-04-01,-1.0224
2020-05-01,-0.4098
2020-06-01,-0.1469
2020-07-01,-1.2262
2020-08-01,0.1217
2020-09-01,0.985
2020-10-01,-0.6547
2020-11-01,2.5445
2020-12-01,-0.3024
2021-01-01,-1.1087
2021-02-01,0.1361
2021-03-01,0.7299
2021-04-01,-1.4251
2021-05-01,-1.2386
2021-06-01,0.7655
2021-07-01,0.026
2021-08-01,-0.2825
2021-09-01,-0.2137
2021-10-01,-2.2899
2021-11-01,-0.1846
2021-12-01,0.2885
2022-01-01,1.0778
2022-02-01,1.683
2022-03-01,0.7677
2022-04-01,-0.3646
2022-05-01,0.7062
2022-06-01,-0.118
2022-07-01,-0.0936
2022-08-01,1.4699
2022-09-01,-1.6105
2022-10-01,-0.7175
2022-11-01,0.6922
2022-12-01,-0.1456
2023-01-01,1.2503
2023-02-01,0.9227
2023-03-01,-1.1088
2023-04-01,-0.6284
2023-05-01,0.3864
2023-06-01,-0.5784
2023-07-01,-2.1746
2023-08-01,-1.164
2023-09-01,-0.4408
2023-10-01,-2.0292
2023-11-01,-0.3194
2023-12-01,1.9365
2024-01-01,0.206
2024-02-01,1.0894
2024-03-01,-0.2141
2024-04-01,-0.7802
2024-05-01,-0.443
2024-06-01,-0.0865
2024-07-01,1.4555
2024-08-01,0.6325
2024-09-01,-1.4283
2024-10-01,-0.375
2024-11-01,-0.2321
2024-12-01,1.2067
2025-01-01,-0.5224
2025-02-01,1.5958
2025-03-01,0.2999
