date,PNA
2000-01-01,-0.82
2000-02-01,1.12
2000-03-01,1.28
2000-04-01,-0.35
2000-05-01,-0.28
2000-06-01,-1.22
2000-07-01,-2.28
2000-08-01,-0.48
2000-09-01,-1.4
2000-10-01,0.25
2000-11-01,0.74
2000-12-01,1.23
2001-01-01,1.51
2001-02-01,-0.16
2001-03-01,0.7
2001-04-01,-0.47
2001-05-01,-0.11
2001-06-01,-0.94
2001-07-01,0.06
2001-08-01,-0.11
2001-09-01,0.1
2001-10-01,-0.22
2001-11-01,1.09
2001-12-01,0.56
2002-01-01,-0.04
2002-02-01,0.14
2002-03-01,-1.3
2002-04-01,-2.22
2002-05-01,-0.73
2002-06-01,-0.05
2002-07-01,0.88
2002-08-01,0.64
2002-09-01,0.77
2002-10-01,-0.65
2002-11-01,1.54
2002-12-01,1.59
2003-01-01,1.29
2003-02-01,0.73
2003-03-01,-0.07
2003-04-01,0.14
2003-05-01,-2.2
2003-06-01,-0.6
2003-07-01,1.23
2003-08-01,-0.28
2003-09-01,0.76
2003-10-01,0.97
2003-11-01,-1.72
2003-12-01,0.86
2004-01-01,0.41
2004-02-01,1.06
2004-03-01,0.3
2004-04-01,0.51
2004-05-01,-1.76
2004-06-01,-0.37
2004-07-01,0.09
2004-08-01,1.55
2004-09-01,-0.08
2004-10-01,-1.39
2004-11-01,0.31
2004-12-01,0.26
2005-01-01,0.02
2005-02-01,0.14
2005-03-01,0.88
2005-04-01,1.28
2005-05-01,1.74
2005-06-01,0.29
2005-07-01,0.43
2005-08-01,0.72
2005-09-01,1.63
2005-10-01,0.9
2005-11-01,-0.76
2005-12-01,1.38
2006-01-01,0.4337
2006-02-01,-0.1119
2006-03-01,-0.2744
2006-04-01,0.4461
2006-05-01,-1.2712
2006-06-01,-1.0634
2006-07-01,1.834
2006-08-01,-1.4073
2006-09-01,0.424
2006-10-01,-0.838
2006-11-01,-1.3886
2006-12-01,1.8647
2007-01-01,0.7169
2007-02-01,-0.0874
2007-03-01,0.1808
2007-04-01,1.245
2007-05-01,-0.0571
2007-06-01,-0.3786
2007-07-01,2.2087
2007-08-01,1.9775
2007-09-01,1.8826
2007-10-01,0.5504
2007-11-01,0.6926
2007-12-01,0.1395
2008-01-01,-0.3179
2008-02-01,0.5006
2008-03-01,-0.3225
2008-04-01,-0.9707
2008-05-01,1.3274
2008-06-01,-1.7529
2008-07-01,-0.0988
2008-08-01,0.9209
2008-09-01,1.1173
2008-10-01,0.8563
2008-11-01,1.1104
2008-12-01,-1.4097
2009-01-01,0.606
2009-02-01,-0.9476
2009-03-01,-1.0245
2009-04-01,0.2112
2009-05-01,-0.5809
2009-06-01,0.3505
2009-07-01,1.2175
2009-08-01,0.6496
2009-09-01,1.2891
2009-10-01,0.431
2009-11-01,0.2057
2009-12-01,0.3386
2010-01-01,1.2536
2010-02-01,0.5788
2010-03-01,2.0197
2010-04-01,1.5365
2010-05-01,-0.9322
2010-06-01,-0.2042
2010-07-01,1.3955
2010-08-01,1.1019
2010-09-01,1.3359
2010-10-01,1.7967
2010-11-01,-0.845
2010-12-01,-1.7774
2011-01-01,1.2855
2011-02-01,-1.5807
2011-03-01,0.6887
2011-04-01,-1.5859
2011-05-01,0.1896
2011-06-01,0.2236
2011-07-01,-0.355
2011-08-01,1.4217
2011-09-01,-0.4196
2011-10-01,0.6273
2011-11-01,-0.7886
2011-12-01,0.3635
2012-01-01,0.6035
2012-02-01,0.7501
2012-03-01,0.1075
2012-04-01,0.1542
2012-05-01,-0.4228
2012-06-01,-0.5009
2012-07-01,-0.1625
2012-08-01,-0.1709
2012-09-01,-0.4217
2012-10-01,-1.1764
2012-11-01,-1.095
2012-12-01,-1.0097
2013-01-01,0.5458
2013-02-01,0.4483
2013-03-01,0.038
2013-04-01,-1.5574
2013-05-01,-0.3636
2013-06-01,-0.4348
2013-07-01,-0.3068
2013-08-01,-0.0293
2013-09-01,0.5445
2013-10-01,-0.3405
2013-11-01,-1.1833
2013-12-01,-0.8582
2014-01-01,0.9683
2014-02-01,-0.9513
2014-03-01,-0.2085
2014-04-01,0.2465
2014-05-01,-0.7633
2014-06-01,-1.4583
2014-07-01,0.9871
2014-08-01,1.3699
2014-09-01,0.9892
2014-10-01,0.887
2014-11-01,0.6782
2014-12-01,0.6689
2015-01-01,0.6124
2015-02-01,0.59
2015-03-01,-0.2299
2015-04-01,-0.1502
2015-05-01,-0.1578
2015-06-01,-0.1731
2015-07-01,0.7612
2015-08-01,0.0789
2015-09-01,-0.9181
2015-10-01,1.775
2015-11-01,-0.1927
2015-12-01,0.7771
2016-01-01,2.0213
2016-02-01,1.4822
2016-03-01,0.7278
2016-04-01,0.8657
2016-05-01,-1.0611
2016-06-01,-0.7011
2016-07-01,1.0193
2016-08-01,-0.8759
2016-09-01,0.182
2016-10-01,1.2393
2016-11-01,1.517
2016-12-01,-0.3534
2017-01-01,0.28
2017-02-01,0.1848
2017-03-01,0.2682
2017-04-01,0.3966
2017-05-01,-0.3112
2017-06-01,1.0051
2017-07-01,1.8642
2017-08-01,0.2317
2017-09-01,-0.3308
2017-10-01,-0.398
2017-11-01,-2.0568
2017-12-01,0.8877
2018-01-01,0.3995
2018-02-01,-1.0256
2018-03-01,-0.886
2018-04-01,-0.9091
2018-05-01,-1.3363
2018-06-01,0.5115
2018-07-01,-0.3674
2018-08-01,1.2674
2018-09-01,1.4366
2018-10-01,0.21
2018-11-01,0.2415
2018-12-01,0.8604
2019-01-01,0.8342
2019-02-01,-1.076
2019-03-01,0.2502
2019-04-01,-0.6116
2019-05-01,-0.2907
2019-06-01,0.1212
2019-07-01,1.1116
2019-08-01,1.1786
2019-09-01,2.0
2019-10-01,-1.0241
2019-11-01,-0.0565
2019-12-01,0.1809
2020-01-01,-0.2369
2020-02-01,0.1722
2020-03-01,-2.171
2020-04-01,-1.1756
2020-05-01,0.2107
2020-06-01,0.7038
2020-07-01,1.7276
2020-08-01,1.8218
2020-09-01,0.7536
2020-10-01,-1.1312
2020-11-01,0.2351
2020-12-01,1.5844
2021-01-01,0.1861
2021-02-01,-0.3074
2021-03-01,-0.9688
2021-04-01,-1.0486
2021-05-01,-1.3469
2021-06-01,0.666
2021-07-01,0.5624
2021-08-01,0.9547
2021-09-01,0.4433
2021-10-01,1.134
2021-11-01,0.7215
2021-12-01,-2.5584
2022-01-01,1.0093
2022-02-01,0.6577
2022-03-01,0.1348
2022-04-01,-0.735
2022-05-01,-0.8263
2022-06-01,-0.3128
2022-07-01,2.5404
2022-08-01,0.7893
2022-09-01,0.2093
2022-10-01,0.1662
2022-11-01,-0.7341
2022-12-01,-0.662
2023-01-01,0.2148
2023-02-01,-0.64
2023-03-01,-1.6341
2023-04-01,-0.4242
2023-05-01,-0.8575
2023-06-01,0.687
2023-07-01,1.1454
2023-08-01,0.4468
2023-09-01,1.0582
2023-10-01,1.2042
2023-11-01,0.5459
2023-12-01,1.2143
2024-01-01,0.4459
2024-02-01,0.0877
2024-03-01,0.4514
2024-04-01,-0.6526
2024-05-01,-2.7412
2024-06-01,0.9692
2024-07-01,2.598
2024-08-01,-1.011
2024-09-01,1.3435
2024-10-01,0.0368
2024-11-01,0.0591
2024-12-01,1.6988
2025-01-01,1.0539
2025-02-01,1.4149
2025-03-01,-0.0997
2025-04-01,-0.8667
2025-05-01,-1.6651
2025-06-01,-1.1081
2025-07-01,0.7391
2025-08-01,-0.3614
2025-09-01,0.8089
2025-10-01,1.4201
2025-11-01,0.7854
2025-12-01,-1.413
