date,AO,NAO,PNA,ENSO
2000-01-01,1.2702,0.6,-0.82,-1.66
2000-02-01,1.0758,1.7,1.12,-1.41
2000-03-01,-0.4514,0.77,1.28,-1.07
2000-04-01,-0.2785,-0.03,-0.35,-0.81
2000-05-01,0.9691,1.58,-0.28,-0.71
2000-06-01,0.5861,-0.03,-1.22,-0.64
2000-07-01,-0.6494,-1.03,-2.28,-0.55
2000-08-01,0.1439,-0.29,-0.48,-0.51
2000-09-01,0.3949,-0.21,-1.4,-0.55
2000-10-01,0.3168,0.92,0.25,-0.63
2000-11-01,-1.5815,-0.92,0.74,-0.75
2000-12-01,-2.3544,-0.58,1.23,-0.74
2001-01-01,-0.9588,0.25,1.51,-0.68
2001-02-01,-0.6224,0.45,-0.16,-0.52
2001-03-01,-1.6865,-1.26,0.7,-0.44
2001-04-01,0.906,0.0,-0.47,-0.34
2001-05-01,0.452,-0.02,-0.11,-0.25
2001-06-01,-0.0153,-0.2,-0.94,-0.12
2001-07-01,-0.031,-0.25,0.06,-0.08
2001-08-01,0.5205,-0.07,-0.11,-0.13
2001-09-01,-0.7066,-0.65,0.1,-0.19
2001-10-01,0.7075,-0.24,-0.22,-0.29
2001-11-01,0.8186,0.63,1.09,-0.35
2001-12-01,-1.3224,-0.83,0.56,-0.31
2002-01-01,1.3813,0.44,-0.04,-0.15
2002-02-01,1.3035,1.1,0.14,0.03
2002-03-01,0.902,0.69,-1.3,0.09
2002-04-01,0.7484,1.18,-2.22,0.2
2002-05-01,0.4014,-0.22,-0.73,0.43
2002-06-01,0.5727,0.38,-0.05,0.65
2002-07-01,0.3276,0.62,0.88,0.79
2002-08-01,-0.2285,0.38,0.64,0.86
2002-09-01,-0.0427,-0.7,0.77,1.01
2002-10-01,-1.4885,-2.28,-0.65,1.21
2002-11-01,-1.4251,-0.18,1.54,1.31
2002-12-01,-1.5921,-0.94,1.59,1.14
2003-01-01,-0.4717,0.16,1.29,0.92
2003-02-01,0.1278,0.62,0.73,0.63
2003-03-01,0.933,0.32,-0.07,0.38
2003-04-01,-0.1781,-0.18,0.14,-0.04
2003-05-01,1.0167,0.01,-2.2,-0.26
2003-06-01,-0.1021,-0.07,-0.6,-0.16
2003-07-01,0.0753,0.13,1.23,0.08
2003-08-01,-0.2804,-0.07,-0.28,0.21
2003-09-01,0.4666,0.01,0.76,0.26
2003-10-01,-0.6698,-1.26,0.97,0.29
2003-11-01,0.6424,0.86,-1.72,0.35
2003-12-01,0.2652,0.64,0.86,0.35
2004-01-01,-1.6858,-0.29,0.41,0.37
2004-02-01,-1.5285,-0.14,1.06,0.31
2004-03-01,0.3181,1.02,0.3,0.23
2004-04-01,-0.4094,1.15,0.51,0.17
2004-05-01,-0.0943,0.19,-1.76,0.17
2004-06-01,-0.2359,-0.89,-0.37,0.28
2004-07-01,-0.2005,1.13,0.09,0.47
2004-08-01,-0.7202,-0.48,1.55,0.64
2004-09-01,0.855,0.38,-0.08,0.7
2004-10-01,-0.5154,-1.1,-1.39,0.67
2004-11-01,0.6783,0.73,0.31,0.66
2004-12-01,1.2301,1.21,0.26,0.69
