date,AO,NAO,PNA,ENSO
2013-01-01,-0.6095,0.3453,0.5458,-0.29
2013-02-01,-1.0074,-0.4531,0.4483,-0.29
2013-03-01,-3.1854,-1.6119,0.038,-0.21
2013-04-01,0.3222,0.687,-1.5574,-0.19
2013-05-01,0.494,0.5691,-0.3636,-0.27
2013-06-01,0.5487,0.5208,-0.4348,-0.34
2013-07-01,-0.0111,0.6722,-0.3068,-0.35
2013-08-01,0.1542,0.9702,-0.0293,-0.28
2013-09-01,-0.4609,0.2406,0.5445,-0.21
2013-10-01,0.2628,-1.2801,-0.3405,-0.13
2013-11-01,2.029,0.9008,-1.1833,-0.1
2013-12-01,1.4749,0.9457,-0.8582,-0.15
2014-01-01,-0.9688,0.2903,0.9683,-0.28
2014-02-01,0.0438,1.3352,-0.9513,-0.32
2014-03-01,1.2058,0.7983,-0.2085,-0.14
2014-04-01,0.972,0.3052,0.2465,0.15
2014-05-01,0.4642,-0.9225,-0.7633,0.31
2014-06-01,-0.5074,-0.9701,-1.4583,0.23
2014-07-01,-0.4889,0.1754,0.9871,0.1
2014-08-01,-0.3715,-1.6815,1.3699,0.11
2014-09-01,0.1019,1.6163,0.9892,0.28
2014-10-01,-1.1344,-1.2706,0.887,0.54
2014-11-01,-0.5303,0.678,0.6782,0.71
2014-12-01,0.4129,1.8575,0.6689,0.77
2015-01-01,1.0916,1.7887,0.6124,0.69
2015-02-01,1.0426,1.3228,0.59,0.61
2015-03-01,1.8374,1.4497,-0.2299,0.65
2015-04-01,1.2157,0.7253,-0.1502,0.81
2015-05-01,0.7628,0.1455,-0.1578,1.02
2015-06-01,0.427,-0.0668,-0.1731,1.25
2015-07-01,-1.1079,-3.179,0.7612,1.57
2015-08-01,-0.689,-0.7604,0.0789,1.91
2015-09-01,-0.1645,-0.6485,-0.9181,2.21
2015-10-01,-0.2501,0.4372,1.775,2.47
2015-11-01,1.945,1.7438,-0.1927,2.64
2015-12-01,1.4441,2.2436,0.7771,2.75
